,Name_URL,Name,Name1,CoreCount,PerformanceCoreClock,PerformanceBoostClock,TDP,IntegratedGraphics,SMT
21,https://pcpartpicker.com/product/qp2WGX/intel-core-i5-11400f-26-ghz-6-core-processor-bx8070811400f,https://cdna.pcpartpicker.com/static/forever/images/product/1cd42b90d913aa4fe2338eb376fd3e2d.256p.jpg,intel core i5-11400f,6,2.6,4.4,65.0,None,Yes
22,https://pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f,https://cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg,intel core i3-10100f,4,3.6,4.3,65.0,None,Yes
23,https://pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400,https://cdna.pcpartpicker.com/static/forever/images/product/331bcd7f5044608c8b4e0a2437219229.256p.jpg,intel core i5-12400,6,2.5,4.4,65.0,Intel UHD Graphics 730,Yes
24,https://pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f,https://cdna.pcpartpicker.com/static/forever/images/product/1d6c5691988047da895d68961c33fe95.256p.jpg,intel core i7-12700f,12,2.1,4.9,65.0,None,Yes
25,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,amd ryzen 7 5800x3d,8,3.4,4.5,105.0,None,Yes
26,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,https://cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,amd ryzen 5 4500,6,3.6,4.1,65.0,None,Yes
27,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof,https://cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg,amd threadripper 3990x,64,2.9,4.3,280.0,None,Yes
28,https://pcpartpicker.com/product/hYgFf7/intel-core-i3-10105f-37-ghz-quad-core-processor-bx8070110105f,https://cdna.pcpartpicker.com/static/forever/images/product/104690dc90e6297964380eeb9204f524.256p.jpg,intel core i3-10105f,4,3.7,4.4,65.0,None,Yes
29,https://pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k,https://cdna.pcpartpicker.com/static/forever/images/product/6a40f9732bef504af112c33a980482b2.256p.jpg,intel core i7-10700k,8,3.8,5.1,125.0,Intel UHD Graphics 630,Yes
30,https://pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k,https://cdna.pcpartpicker.com/static/forever/images/product/b501d68b041d6f48bc11c402012d59cb.256p.jpg,intel core i9-10900k,10,3.7,5.3,125.0,Intel UHD Graphics 630,Yes
31,https://pcpartpicker.com/product/RK3gXL/intel-core-i5-11600k-39-ghz-6-core-processor-bx8070811600k,https://cdna.pcpartpicker.com/static/forever/images/product/6881ec4618066263cbe6904e95ae9278.256p.jpg,intel core i5-11600k,6,3.9,4.9,125.0,Intel UHD Graphics 750,Yes
32,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,https://cdna.pcpartpicker.com/static/forever/images/product/c3d3a6843e0c0a5d98155e9fa68c092c.256p.jpg,intel core i9-12900kf,16,3.2,5.2,125.0,None,Yes
33,https://pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,amd ryzen 7 3800x,8,3.9,4.5,105.0,None,Yes
34,https://pcpartpicker.com/product/qrhFf7/intel-core-i3-12100-33-ghz-quad-core-processor-bx8071512100,https://cdna.pcpartpicker.com/static/forever/images/product/7fc9bd473f09de3bff4a5a44e832f399.256p.jpg,intel core i3-12100,4,3.3,4.3,60.0,Intel UHD Graphics 730,Yes
35,https://pcpartpicker.com/product/mDcG3C/intel-core-i9-11900k-35-ghz-8-core-processor-bx8070811900k,https://cdna.pcpartpicker.com/static/forever/images/product/eb8ef73f5460ac6ad82f634b2dcf793a.256p.jpg,intel core i9-11900k,8,3.5,5.3,125.0,Intel UHD Graphics 750,Yes
