,Name_URL,Name,Name1,FormFactor,EfficiencyRating,Wattage,Modular,Color
1483,https://pcpartpicker.com/product/NCH323/pc-power--cooling-power-supply-ppcmk3s750,https://m.media-amazon.com/images/I/513a3efEvkL.jpg,pc power & cooling silencer mk iii,ATX,80+ Gold,750,Semi,
1484,https://pcpartpicker.com/product/N32rxr/startech-power-supply-atx2pw550wh,https://images-na.ssl-images-amazon.com/images/I/41wSsd6HCxL.jpg,startech atx2pw550wh,ATX,80+,550,No,
1485,https://pcpartpicker.com/product/sJrG3C/cougar-power-supply-cougarsx850,https://m.media-amazon.com/images/I/41t2sfxJmvL.jpg,cougar cougar-sx850,ATX,80+ Silver,850,Full,
1486,https://pcpartpicker.com/product/dqgPxr/seasonic-prime-gold-850w-80-gold-certified-fully-modular-atx-power-supply-ssr-850gd-old,https://cdna.pcpartpicker.com/static/forever/images/product/49a55f8ea588c36253b925f0bf564984.256p.jpg,seasonic prime gold,ATX,80+ Gold,850,Full,
1487,https://pcpartpicker.com/product/p2yFf7/xfx-power-supply-p1450sx2b9,https://images-na.ssl-images-amazon.com/images/I/41z2FFkvN9L.jpg,xfx proseries,ATX,80+ Bronze,450,No,
1488,https://pcpartpicker.com/product/Tk648d/seasonic-power-supply-ss430st,https://m.media-amazon.com/images/I/51OK4r1cuUL.jpg,seasonic eco,ATX,80+ Bronze,430,No,
1489,https://pcpartpicker.com/product/tyJwrH/antec-power-supply-tp650c,https://cdna.pcpartpicker.com/static/forever/images/product/425e461fd7da9aa2298be3609a9c85ca.256p.jpg,antec true power,ATX,80+ Gold,650,No,
1490,https://pcpartpicker.com/product/gyJwrH/antec-power-supply-tp550c,https://cdna.pcpartpicker.com/static/forever/images/product/2b03e2bd13c4ba54b624c583ff4cdcc4.256p.jpg,antec true power,ATX,80+ Gold,550,No,
1491,https://pcpartpicker.com/product/NpgPxr/solid-gear-power-supply-sdgr650e,https://cdna.pcpartpicker.com/static/forever/images/product/ccb5ab7681aa5fad822a8f2124d1ee02.med.256p.jpg,solid gear sdgr-650e,ATX,,650,No,
1492,https://pcpartpicker.com/product/ZDrG3C/thermaltake-power-supply-pstpg0750dpcgusg,https://m.media-amazon.com/images/I/51amZBFNVJL.jpg,thermaltake toughpower dps g,ATX,80+ Gold,750,Full,
1493,https://pcpartpicker.com/product/n63RsY/thermaltake-power-supply-pstpg0750mpcgus1,https://m.media-amazon.com/images/I/51JTb7su7dL.jpg,thermaltake toughpower grand,ATX,80+ Gold,750,Full,
